postcode,location,district,state,mukim,postcode1,postcode2,postcode3
nan,PETI SURAT,KANGAR,PERLIS,,nan,nan,nan
nan,BEG BERKUNCI,KANGAR,PERLIS,,nan,nan,nan
nan,DYMM TUANKU RAJA PERLIS,KANGAR,PERLIS,,nan,nan,nan
nan,YAB MENTERI BESAR PERLIS,KANGAR,PERLIS,,nan,nan,nan
nan,SETIAUSAHA KERAJAAN NEGERI,KANGAR,PERLIS,,nan,nan,nan
nan,BIRO BANTUAN GUAMAN,KANGAR,PERLIS,,nan,nan,nan
nan,BIRO PENGADUAN AWAM,KANGAR,PERLIS,,nan,nan,nan
nan,MAHKAMAH SESYEN,KANGAR,PERLIS,,nan,nan,nan
nan,MAHKAMAH TINGGI,KANGAR,PERLIS,,nan,nan,nan
nan,AMANAH RAYA BERHAD,KANGAR,PERLIS,,nan,nan,nan
nan,PENASIHAT UNDANG-UNDANG NEGERI,KANGAR,PERLIS,,nan,nan,nan
nan,JABATAN PERANGKAAN,KANGAR,PERLIS,,nan,nan,nan
nan,JABATAN PEMEGANG HARTA,KANGAR,PERLIS,,nan,nan,nan
nan,JABATAN PERPADUAN NEGARA,KANGAR,PERLIS,,nan,nan,nan
nan,JABATAN AUDIT NEGERI,KANGAR,PERLIS,,nan,nan,nan
nan,SETIAUSAHA KESELAMATAN NEGERI,KANGAR,PERLIS,,nan,nan,nan
nan,UNIT PENYELIDIKAN SOSIO EKONOMI,KANGAR,PERLIS,,nan,nan,nan
nan,JABATAN SUMBER MANUSIA,KANGAR,PERLIS,,nan,nan,nan
nan,JABATAN KESELAMATAN SOSIAL (PERKESO),KANGAR,PERLIS,,nan,nan,nan
nan,JABATAN TENAGA RAKYAT,KANGAR,PERLIS,,nan,nan,nan
nan,PEJABAT RELA NEGERI,KANGAR,PERLIS,,nan,nan,nan
nan,UNIT PENCEGAH PENYELUDUPAN,KANGAR,PERLIS,,nan,nan,nan
nan,JABATAN IMIGRESEN,KANGAR,PERLIS,,nan,nan,nan
nan,JABATAN PENDAFTARAN NEGARA,KANGAR,PERLIS,,nan,nan,nan
nan,JABATAN PERTAHANAN AWAM,KANGAR,PERLIS,,nan,nan,nan
nan,KETUA POLIS NEGERI,KANGAR,PERLIS,,nan,nan,nan
nan,JABATAN KEBAJIKAN MASYARAKAT,KANGAR,PERLIS,,nan,nan,nan
nan,JABATAN BELIA & SUKAN,KANGAR,PERLIS,,nan,nan,nan
nan,PERPUSTAKAAN AWAM NEGERI,KANGAR,PERLIS,,nan,nan,nan
nan,JABATAN TANAH & GALIAN,KANGAR,PERLIS,,nan,nan,nan
nan,JABATAN UKUR & PEMETAAN,KANGAR,PERLIS,,nan,nan,nan
nan,JABATAN KERJA RAYA,KANGAR,PERLIS,,nan,nan,nan
nan,HOSPITAL KANGAR,KANGAR,PERLIS,,nan,nan,nan
nan,JABATAN KESIHATAN,KANGAR,PERLIS,,nan,nan,nan
nan,PEGAWAI KEWANGAN NEGERI,KANGAR,PERLIS,,nan,nan,nan
nan,AKAUNTAN NEGERI,KANGAR,PERLIS,,nan,nan,nan
nan,JABATAN KASTAM & EKSAIS DI RAJA,KANGAR,PERLIS,,nan,nan,nan
nan,KUMPULAN WANG SIMPANAN PEKERJA,KANGAR,PERLIS,,nan,nan,nan
nan,LEMBAGA HASIL DALAM NEGERI,KANGAR,PERLIS,,nan,nan,nan
